val;value
src_dir;source_directory
vocabs;vocabularies
bert_config;bert_configuration
colorbar;color_bar
sizesrc;size_source
stdin;standard_in
var0_np;variable_0_numpy
param2;parameter_2
pvals;p_values
bordercolor;border_color
ema;exponential_moving_average
lr_t;learning_rate_t
