params;parameters
gpu;graphics_processing_unit
errmsg;error_message
dists;distributions
mem;memory
lib;library
sym;symbol
sdfg;stateful_data_flow_graph
ident;identifier
userid;user_id
fid;field
cmds;commands
mobj;media_object
dct;dictionary
ckpt;checkpoint
geom;geometry
exc_tb;exception_traceback
tmp_dir;temporary_directory
href;hyperreference
pkg;package
maxpool;maximum_pool
enc;encoder
ndim;n_dimension
refs;references
tok;token
convs;convolutions
anns;annotations;
outdir;output_directory
bert;berti
tab;table
det;detection
tmpstr;temporary_string
atol;array_to_long
gts;greaters
iface;interface
evt;event
pytestmark;python_testmark
rel;relation
denom;denominator
info_dict;information_dictionary
comm;communicator
div;division
itr;iteration
temp_dir;temporary_directory
aux;auxiliary
org;organization
cov;coverage
wav;wave
sym_db;symbol_database
cli;client
dep;dependency
conv4;convolution_4
prog;program
hyp;hyperparameter
fileobj;file_object
avgpool;average_pool
exc_val;exception_value
max_val;maximum_value
img_h;image_height
img_w;image_width
mems;members
arg1;argument_1
x_max;x_maximum
neg_inds;negative_indexes
rle;run_length_encoder
ips;ip_addresses
lab;label
mol;molecule
stdin;standard_in
oid;object_id
kwds;keywords
lon;longitude
scp;secure_copy_protocol
maxlen;maximum_length
ttl;time_to_live
optim;optimizer
deps;dependencies
netloc;net_location
val_ptr;value_pointer
mult;multiplier
ast;abstract_syntax_tree
gpus;graphical_processing_units
rnn;recurrent_neural_network
clf;classifier
infile;in_file
impl;implementation
img_dir;image_directory
api_url;application_programming_interface_unique_resource_locator
boxlist;box_list
rsp;response
rtol;right_to_left
max_x;maximum_x
adata;author_data
btn;button
tgt_dict;target_dictionary
vid;video
att;attribute
dat;date
init_cfg;initialization_configuration
ext_info;extension_information
n_gpu;n_graphics_processing_unit
interp;interpolator
iou_thrs;intersection_over_union_thresholds
exprs;expressions
x_min;x_minimum
sha;sha256
tup;tuple
max_y;maximum_y
tot;total
img_info;image_information
fea;feature
pwd;password
toc;table_of_content
txn;taxon
assoc;association
dpi;dots_per_inch
concat;concatenation
vmax;v_maximum
conf_str;configuration_string
coeffs;coefficients
conv5;convolution_5
param_dict;parameter_dictionary
logdir;log_directory
min_x;minimum_x
coef;coefficient
diffs;differences
mlp;multi_layer_perceptron
arn;amazon_resource_name
min_y;minimum_y
mlvl_bboxes;multi_level_bounding_boxes
y_max;y_maximum
specs;specifications
vmin;v_minimum
tempdir;temporary_directory
disp;display
logfile;log_file
lvl;level
sec;second
dcn;deformable_convolutional_network
maxsize;maximum_size
min_val;minium_value
freqs;frequencies
figsize;figure_size
bert_config;bert_configuration
gui;graphical_user_interface
coro;coroutine
dtypes;data_types
locs;locations
vuln;vulnerability
vol;volume
funcs;functions
iloc;index_location
pdf;portable_document_format
assigned_gt_inds;assigned_get_indexes
inc;increment
arg0;argument_0
bbox_roi_extractor;
subdir;sub_directory
filelist;file_list
keepdims;keep_dimensions
y_min;y_minimum
sdk;software_development_kit
reqs;requests
ser;serializer
stds;standards
ann_info;annotation_information
msgs;messages
kps;keypoints
dxfattribs;dxf_attributes
topk_inds;wtf
dec;decoder
arg2;argument_2
hdr;high_dynamic_range
datetime;date_time
testdir;test_directory
thr;thread
stddev;standard_deviation
enum;enumeration
pubkey;public_key
vlan;virtual_local_area_network
basedir;base_directory
libs;libraries
ctrl;control
cflags;compiler_flags
src_dir;source_directory
batchsize;batch_size
corr;correlation
nlp;natural_language_processor
descr;description
env_info;environment_information
lprobs;log_probs
roi;return_of_interest
testset;test_set
exc_info;exception_information
coeff;coefficient
sku;stock_keeping_unit
pbone;wtf
argspec;argument_specifier
ncols;number_of_columns
dset;dataset
